time_range,day_of_week,month,mode_of_transport,geohash,direction
12-15,THURSDAY,8,ON_BICYCLE,u0m5ubg3,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tnv3,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tq06,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5ts4h,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uy7z,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uyu4,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5ug6y,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5tp9b,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhcd4,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhhcf0,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhhcy3,WEST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uv5v,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5tph3,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uy5x,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5tp70,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uus7,SOUTH_WEST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uce1,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5tmc4,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5ts1d,NORTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5uc6b,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5ubkk,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5ug42,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5t7zk,EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhb78,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5ufdu,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhhbdu,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhcud,WEST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tm56,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tkm3,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhbf8,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5tnwd,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhj430,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0m5tebx,EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhbf7,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0m5uc4b,SOUTH
12-15,THURSDAY,8,ON_BICYCLE,u0mhhb7k,SOUTH_EAST
12-15,THURSDAY,8,ON_BICYCLE,u0mhhbe1,SOUTH_EAST
12-15,THURSDAY,8,WALKING,u0m709vv,EAST
12-15,THURSDAY,8,WALKING,u0m709zr,WEST
12-15,THURSDAY,8,WALKING,u0m709yv,WEST
12-15,THURSDAY,8,WALKING,u0m709v7,EAST
12-15,THURSDAY,8,WALKING,u0m709yk,WEST
18-21,THURSDAY,8,ON_BICYCLE,u0m70du5,WEST
18-21,THURSDAY,8,ON_BICYCLE,u0m70dcs,SOUTH_WEST
18-21,THURSDAY,8,ON_BICYCLE,u0m70ds2,NORTH
12-15,FRIDAY,8,TRAIN,u0mu274v,SOUTH_WEST
12-15,FRIDAY,8,TRAIN,u0mgswd5,NORTH_EAST
